"","time","data"
"225",1997-09-15,156.28
"226",1997-10-15,103.53
"227",1997-11-15,5.75999999999999
"228",1997-12-15,5.69999999999999
"229",1998-01-15,0
"230",1998-02-15,25.34
"231",1998-03-15,8.19999999999999
"232",1998-04-15,75.67
"233",1998-05-15,44.17
"234",1998-06-15,74.6399999999999
"235",1998-07-15,0
"236",1998-08-15,0
"237",1998-09-15,22.78
"238",1998-10-15,0
"239",1998-11-15,0
"240",1998-12-15,0
"241",1999-01-15,0
"242",1999-02-15,0
"243",1999-03-15,10.6199999999999
"244",1999-04-15,32.42
"245",1999-05-15,37.46
"246",1999-06-15,84.88
"247",1999-07-15,26.14
"248",1999-08-15,127.4
"249",1999-09-15,129.84
"250",1999-10-15,35.14
"251",1999-11-15,0
"252",1999-12-15,0
"253",2000-01-15,0
"254",2000-02-15,11.4
"255",2000-03-15,0
"256",2000-04-15,45
"257",2000-05-15,47.5
"258",2000-06-15,548.7
"259",2000-07-15,23.01
"260",2000-08-15,43.3999999999999
"261",2000-09-15,140.22
"262",2000-10-15,27.6199999999999
"263",2000-11-15,16.82
"264",2000-12-15,0
"265",2001-01-15,0
"266",2001-02-15,0
"267",2001-03-15,20.77
"268",2001-04-15,29.92
"269",2001-05-15,112.38
"270",2001-06-15,9.81999999999999
"271",2001-07-15,378.93
"272",2001-08-15,119.64
"273",2001-09-15,23.62
"274",2001-10-15,5.56999999999999
"275",2001-11-15,0
"276",2001-12-15,0
"277",2002-01-15,0
"278",2002-02-15,0
"279",2002-03-15,6.33999999999997
"280",2002-04-15,5.82999999999998
"281",2002-05-15,291.25
"282",2002-06-15,300.54
"283",2002-07-15,165.45
"284",2002-08-15,189.04
"285",2002-09-15,23.49
"286",2002-10-15,0
"287",2002-11-15,0
"288",2002-12-15,1.83999999999997
"289",2003-01-15,20.73
"290",2003-02-15,0
"291",2003-03-15,0
"292",2003-04-15,4.99000000000001
"293",2003-05-15,111.66
"294",2003-06-15,112.17
"295",2003-07-15,94.4
"296",2003-08-15,8.83999999999997
"297",2003-09-15,9.76999999999992
"298",2003-10-15,0
"299",2003-11-15,13.51
"300",2003-12-15,0
"301",2004-01-15,2.34999999999997
"302",2004-02-15,0
"303",2004-03-15,33.74
"304",2004-04-15,81.3599999999998
"305",2004-05-15,20.34
"306",2004-06-15,59.13
"307",2004-07-15,146.05
"308",2004-08-15,90.57
"309",2004-09-15,43.3099999999999
"310",2004-10-15,3.19
"311",2004-11-15,28.73
"312",2004-12-15,0
"313",2005-01-15,3.65999999999997
"314",2005-02-15,0
"315",2005-03-15,12.81
"316",2005-04-15,8.08999999999997
"317",2005-05-15,120.2
"318",2005-06-15,237.17
"319",2005-07-15,70.15
"320",2005-08-15,236.08
"321",2005-09-15,28.99
"322",2005-10-15,25.8
"323",2005-11-15,12.09
"324",2005-12-15,0
"325",2006-01-15,0
"326",2006-02-15,0
"327",2006-03-15,0
"328",2006-04-15,2.33999999999997
"329",2006-05-15,27.49
"330",2006-06-15,108.15
"331",2006-07-15,320.66
"332",2006-08-15,61.21
"333",2006-09-15,7.20999999999998
"334",2006-10-15,69.76
"335",2006-11-15,0
"336",2006-12-15,0
"337",2007-01-15,0
"338",2007-02-15,11.8699999999999
"339",2007-03-15,24.74
"340",2007-04-15,0
"341",2007-05-15,22.23
"342",2007-06-15,137.92
"343",2007-07-15,87.34
"344",2007-08-15,43.02
"345",2007-09-15,0
"346",2007-10-15,0
"347",2007-11-15,0
"348",2007-12-15,0
"349",2008-01-15,0
"350",2008-02-15,0
"351",2008-03-15,26.6199999999999
"352",2008-04-15,25.69
"353",2008-05-15,221.92
"354",2008-06-15,109.86
"355",2008-07-15,100.97
"356",2008-08-15,150.3
"357",2008-09-15,9.31
"358",2008-10-15,0
"359",2008-11-15,0
"360",2008-12-15,0
"361",2009-01-15,0
"362",2009-02-15,0
"363",2009-03-15,0
"364",2009-04-15,0
"365",2009-05-15,12.12
"366",2009-06-15,160.9
